単元名,チェック項目,サブテーマ,リファレンス,チャート例題番号,難易度,応用的,チェック内容,問題文,チェック解答,学んでほしいこと,練習問題,練習問題の解答,AIによる修正後の問題文（数Ⅰ）,,,367,370
    (1) $x \geqq 2$ のとき、$x-2 \geqq 0$ なので、 $|x-2| = x-2$
    (2) $x < 2$ のとき、$x-2 < 0$ なので、 $|x-2| = -(x-2) = -x+2$
    (3) $x \geqq 0$ のとき、$-2x \leqq 0$ なので、 $|-2x| = -(-2x) = 2x$
    (4) $x < 0$ のとき、$-2x > 0$ なので、 $|-2x| = -2x$
    
3.  
    (1) $a = 3$：数直線上の3の位置に点を打つ。
    (2) $b = -2$：数直線上の-2の位置に点を打つ。
    (3) $|a| = |3| = 3$：数直線上の3の位置に点を打つ。（(1)と同じ）
    (4) $|b| = |-2| = 2$：数直線上の2の位置に点を打つ。

    (数直線は省略)

4.  
    (1) 2点 $(-1)$, $4$ の距離は、$|4 - (-1)| = |4+1| = |5| = 5$
    (2) $x \geqq 3$ のとき、$x-3 \geqq 0$ なので、2点 $x$, $3$ の距離は、$|x-3| = x-3$
    (3) $x < 3$ のとき、$x-3 < 0$ なので、2点 $x$, $3$ の距離は、$|x-3| = -(x-3) = -x+3$

5.  
数直線上の点 $x$ と $5$ の間の距離は、$|x - 5|$ で表される。
",,,,,
数と式,絶対値の定義をもとに絶対値記号を外す操作や数直線上の2点間の距離の計算ができる？,実数,,22,1,,,"\textbf{基本例題 22 絶対値の基本，数直線上の 2 点間の距離}

\begin{enumerate}
    \item 次の値を求めよ。
    \begin{enumerate}
        \item $|8|$
        \item $|-3|$
        \item $|-3 - \pi|$
    \end{enumerate}
    \item 数直線上において，次の 2 点間の距離を求めよ。
    \begin{enumerate}
        \item $P(2), Q(5)$
        \item $A(2), B(-3)$
        \item $C(-6), D(-2)$
    \end{enumerate}
    \item $x = 2, \; x = -\frac{1}{2}$ のとき，$P = |2x + 1| - |x|$ の値をそれぞれ求めよ。
\end{enumerate}
","1. 絶対値の定義は、数直線上で原点からの距離を表すものです。
    (1) $|8|$ は、8が原点から8離れているので、8です。
    (2) $|-3|$ は、-3が原点から3離れているので、3です。
    (3) $|-3 - \pi|$ は、$-3 - \pi$ が原点からどれだけ離れているかを表します。$\pi$ は約3.14なので、$-3 - \pi$ は負の数です。絶対値を外すときは、中身が負の数であれば、マイナスをかけて正の数にします。したがって、 $|-3 - \pi| = -(-3 - \pi) = 3 + \pi$ となります。

2. 数直線上の2点間の距離は、大きい方の座標から小さい方の座標を引くことで求められます。
    (1) $P(2), Q(5)$ の距離は、$5 - 2 = 3$ です。
    (2) $A(2), B(-3)$ の距離は、$2 - (-3) = 2 + 3 = 5$ です。
    (3) $C(-6), D(-2)$ の距離は、$-2 - (-6) = -2 + 6 = 4$ です。

3. $P = |2x + 1| - |x|$ の値を求めるには、まず$x$ に与えられた値を代入して絶対値の中身の符号を確認する必要があります。
    - $x = 2$ のとき、 $P = |2 \cdot 2 + 1| - |2| = |5| - 2 = 5 - 2 = 3$ となります。
    - $x = -\frac{1}{2}$ のとき、$P = |2 \cdot (-\frac{1}{2}) + 1| - |-\frac{1}{2}| = | -1 + 1 | - \frac{1}{2} = |0| - \frac{1}{2} = 0 - \frac{1}{2} = -\frac{1}{2}$ となります。
","- **絶対値は原点からの距離**を表していることを理解しよう！絶対値の中身が負の数のときは、**マイナスをかけることで正の数にする**必要があることを覚えておこう。
- **数直線上の2点間の距離は、大きい方の座標から小さい方の座標を引く**ことで求められることを理解しよう！
- 絶対値記号を含む式に具体的な数を代入して計算するときは、**まず絶対値の中身の符号を調べて**から、絶対値記号を外すことを忘れないようにしよう！
","\begin{enumerate}
    \item 次の値を求めよ。
    \begin{enumerate}
        \item $|-5|$
        \item $|7|$
        \item $|2 - \sqrt{5}|$
    \end{enumerate}
    \item 数直線上において，次の2点間の距離を求めよ。
    \begin{enumerate}
        \item $A(-1), B(4)$
        \item $C(3), D(-5)$
        \item $E(-7), F(-2)$
    \end{enumerate}
    \item $x = -1, \; x = 3$ のとき、$Q = |x - 2| + |3x|$ の値をそれぞれ求めよ。
\end{enumerate}
","1.  
    (1) $|-5|$ は、-5 が原点から 5 だけ離れているので、5 です。
    
    (2) $|7|$ は、7 が原点から 7 だけ離れているので、7 です。
    
    (3) $|2 - \sqrt{5}|$ について考えます。$\sqrt{5}$ は 2 より大きい数（$\sqrt{4}=2$ より）なので、$2 - \sqrt{5}$ は負の数です。したがって、絶対値を外すにはマイナスをかける必要があるので、
    
    $|2 - \sqrt{5}| = -(2 - \sqrt{5}) = -2 + \sqrt{5} = \sqrt{5} - 2$ となります。

2.  
    (1) $A(-1), B(4)$ の距離は、$4 - (-1) = 4 + 1 = 5$ です。
    
    (2) $C(3), D(-5)$ の距離は、$3 - (-5) = 3 + 5 = 8$ です。
    
    (3) $E(-7), F(-2)$ の距離は、$-2 - (-7) = -2 + 7 = 5$ です。

3.  
    - $x = -1$ のとき、
    
        $Q = |-1 - 2| + |3 \cdot (-1)| = |-3| + |-3| = 3 + 3 = 6$ となります。
    
    - $x = 3$ のとき、
    
        $Q = |3 - 2| + |3 \cdot 3| = |1| + |9| = 1 + 9 = 10$ となります。
","基本例題 $$22$$：絶対値の基本，数直線上の $$2$$ 点間の距離

$$(1)$$ 次の値を求めよ。
\begin{align*} &(ア)\enspace |8| \\ &(イ)\enspace |-3| \\ &(ウ)\enspace |-3 - \pi| \end{align*} 

$$(2)$$ 数直線上において，次の $$2$$ 点間の距離を求めよ。
\begin{align*} &(ア)\enspace P(2), Q(5) \\ &(イ)\enspace A(2), B(-3) \\ &(ウ)\enspace C(-6), D(-2) \end{align*} 

$$(3)$$  $$x = 2$$, $$x = -\frac{1}{2}$$ のとき，$$P = |2x + 1| - |x|$$ の値をそれぞれ求めよ。
",,,,
数と式,絶対値のルールは？,実数,"教科書, p43,p44",,1,,,,"絶対値のルールは以下の通りです。

1.  **定義:**
    実数 $a$ の絶対値 $|a|$ は、数直線上で $a$ が原点（0）からどれだけ離れているかを表す距離です。

2.  **場合分け:**
    $a$ が正または0の場合 ($a \geq 0$)、 $|a| = a$。
    $a$ が負の場合 ($a < 0$)、 $|a| = -a$。
    
   この事をまとめて書くと
   
   $$
   |a| = \begin{cases}
   a & (a \geq 0) \\
   -a & (a < 0)
   \end{cases}
   $$

3.  **常に0以上:**
    絶対値は常に0以上の値をとります。つまり、$|a| \geq 0$ です。

4.  **絶対値の中身が0のとき:**
    $|a| = 0$ となるのは、$a = 0$ のときだけです。

5.  **絶対値の性質:**
    * $|ab| = |a||b|$ (積の絶対値は絶対値の積)
    * $|\frac{a}{b}| = \frac{|a|}{|b|}$ (商の絶対値は絶対値の商。ただし、$b \neq 0$)
    * $|a+b| \leq |a| + |b|$ (三角不等式)
    * $|a-b| \geq ||a| - |b||$ (三角不等式からの派生)

これらのルールを理解しておくと、絶対値を含む方程式や不等式を解く際に役立ちます。
","**絶対値の定義と性質を理解し、場合分けの考え方を身につけよう！**

（注：**「場合分け」**とは、絶対値記号の中身が正の場合と負の場合で、それぞれ異なる式で考えること。**「三角不等式」**は一見難しそうだが、絶対値記号がついた足し算や引き算の大小関係を考えるときに使う便利な道具。図を描いてイメージすると理解しやすい。）
","練習問題：

1. 次の値を求めなさい。
    (1) $|5|$
    (2) $|-3|$
    (3) $|0|$
    (4) $|-1/2|$

2. 次の式を、絶対値記号を用いずに表しなさい。
    (1) $|x-2|$ (ただし、$x \geq 2$)
    (2) $|x-2|$ (ただし、$x < 2$)
    (3) $|2x+1|$ (ただし、$x \geq -1/2$)
    (4) $|2x+1|$ (ただし、$x < -1/2$)

3. 次の計算をしなさい。
    (1) $|3| \times |-2|$
    (2) $|-10| \div |2|$

4. 次の不等式が成り立つことを確認しなさい。（実際に値を代入して試してみよう）
    (1) $|3 + (-1)| \leq |3| + |-1|$
    (2) $|-4 - 2| \geq ||-4| - |2||$

5. 絶対値記号を含む次の方程式を解きなさい。
  $|x-1| = 3$

6. 絶対値記号を含む次の不等式を解きなさい。
$|x+2| < 4$
","練習問題の解答：

1.  **絶対値の計算**

    (1) $|5| = 5$

    （解説：5は正の数なので、絶対値はそのまま5です。）

    (2) $|-3| = 3$

    （解説：-3は負の数なので、絶対値は符号を変えて3になります。）

    (3) $|0| = 0$

    （解説：0の絶対値は0です。）

    (4) $|-1/2| = 1/2$

    （解説：-1/2は負の数なので、絶対値は符号を変えて1/2になります。）

2.  **絶対値記号を外す**

    (1) $|x-2| = x-2$ (ただし、$x \geq 2$)

    （解説：$x \geq 2$ のとき、$x-2$ は0以上なので、絶対値はそのまま外せます。）

    (2) $|x-2| = -(x-2) = -x+2$ (ただし、$x < 2$)

    （解説：$x < 2$ のとき、$x-2$ は負なので、絶対値を外す時にマイナスをかけます。）

    (3) $|2x+1| = 2x+1$ (ただし、$x \geq -1/2$)

    （解説：$x \geq -1/2$ のとき、$2x+1$ は0以上なので、絶対値はそのまま外せます。）

    (4) $|2x+1| = -(2x+1) = -2x-1$ (ただし、$x < -1/2$)

    （解説：$x < -1/2$ のとき、$2x+1$ は負なので、絶対値を外す時にマイナスをかけます。）

3.  **絶対値の計算**

    (1) $|3| \times |-2| = 3 \times 2 = 6$

    （解説：それぞれの絶対値を計算してから掛け算をします。）

    (2) $|-10| \div |2| = 10 \div 2 = 5$

    （解説：それぞれの絶対値を計算してから割り算をします。）

4.  **三角不等式の確認**

    (1) $|3 + (-1)| \leq |3| + |-1|$
        
        左辺： $|3 + (-1)| = |2| = 2$
        
        右辺： $|3| + |-1| = 3 + 1 = 4$
        
        $2 \leq 4$ なので、不等式は成り立ちます。

    (2) $|-4 - 2| \geq ||-4| - |2||$
        
        左辺： $|-4 - 2| = |-6| = 6$
        
        右辺： $||-4| - |2|| = |4 - 2| = |2| = 2$
        
        $6 \geq 2$ なので、不等式は成り立ちます。

5.  **絶対値を含む方程式**
    
    $|x-1| = 3$

    （解説：絶対値の中身が正の場合と負の場合に分けて考えます。）
    
    (i) $x-1 \geq 0$ つまり $x \geq 1$ のとき、
        $x-1 = 3$
        $x = 4$ 
        
        これは $x \geq 1$ を満たすので解です。

    (ii) $x-1 < 0$ つまり $x < 1$ のとき、
       $-(x-1) = 3$
       $-x+1 = 3$
       $-x = 2$
       $x = -2$
       
       これは $x < 1$ を満たすので解です。

    したがって、方程式の解は $x = 4, -2$ です。

6.  **絶対値を含む不等式**

    $|x+2| < 4$

    （解説：絶対値の中身が正の場合と負の場合に分けて考えます。）
    
    (i) $x+2 \geq 0$ つまり $x \geq -2$ のとき、
        $x+2 < 4$
        $x < 2$
        $x \geq -2$ と合わせて $-2 \leq x < 2$

    (ii) $x+2 < 0$ つまり $x < -2$ のとき、
        $-(x+2) < 4$
        $-x-2 < 4$
        $-x < 6$
        $x > -6$
        $x < -2$ と合わせて $-6 < x < -2$

    したがって、不等式の解は $-6 < x < 2$ です。
",,,,,
数と式,根号の定義、平方根と絶対値の関係,実数,"教科書, p43,p44",,1,,,,"根号 $\sqrt{a}$ は、**2乗すると $a$ になる正の数**を指します。つまり、$\sqrt{a}$ は $(\sqrt{a})^2 = a$ かつ $\sqrt{a} \geqq 0$ を満たす数です。

平方根は、2乗するとある数になる数のことで、例えば $4$ の平方根は $2$ と $-2$ です。正の平方根を $\sqrt{4}=2$ のように根号を使って表します。

絶対値 $|x|$ は、数直線上で原点 $0$ から $x$ までの距離を表します。
   
$x \geqq 0$ のとき $|x|=x$ 

$x < 0$ のとき $|x|=-x$
となります。

$x^2 = a$ を満たす $x$ は $x = \pm \sqrt{a}$ と表せますが、これは $x$ の絶対値が $\sqrt{a}$ であること、すなわち $|x| = \sqrt{a}$ を意味します。したがって、$x = \pm \sqrt{a}$ というのは、$x$ が $\sqrt{a}$ または $-\sqrt{a}$ であることを示していると言えます。
"," **根号は正の数を表す記号であること、平方根は正と負の2つ存在する場合があること、絶対値は原点からの距離を表すことを理解し、それらの関係性を把握しよう。**
","練習問題：

1.  $\sqrt{9}$ の値を求めなさい。
2.  $x^2 = 25$ を満たす $x$ の値をすべて求めなさい。
3.  $| -5 |$ の値を求めなさい。
4.  $x^2 = 7$ のとき、$|x|$ の値を求めなさい。
5.  次のうち、正しいものをすべて選びなさい。
    ア. $\sqrt{16} = \pm 4$
    イ. $\sqrt{(-3)^2} = 3$
    ウ. $|-2| = 2$
    エ.  $x^2 = 4$ のとき、$x = \sqrt{4}$
6.  $x = -\sqrt{11}$ のとき、$x^2$ の値を求めなさい。
7. $x^2 = a$ のとき、xの値を絶対値記号を用いて表しなさい。
","練習問題の解答：

1.  $\sqrt{9} = 3$
    
    （解説：$\sqrt{9}$ は2乗すると9になる正の数なので3になります。）

2.  $x = 5, -5$
    
    （解説：$x^2 = 25$ を満たす $x$ は、5と-5の2つです。$5^2 = 25$、 $(-5)^2 = 25$ となるからです。）

3.  $|-5| = 5$
    
    （解説：絶対値は原点からの距離なので、-5から原点までの距離は5です。）

4.  $|x| = \sqrt{7}$
    
    （解説：$x^2 = 7$ を満たす $x$ は $x = \pm \sqrt{7}$ です。$|x|$ は $x$ の絶対値なので、$\sqrt{7}$ または $-\sqrt{7}$ の絶対値は $\sqrt{7}$ です。）

5.  正しいもの：イ、ウ
    
    *   ア. $\sqrt{16} = 4$  (解説：$\sqrt{16}$ は正の数なので4だけです。)
    *   イ. $\sqrt{(-3)^2} = \sqrt{9} = 3$  (解説：$\sqrt{(-3)^2}$ は、まず $(-3)^2$ を計算してからルートを取るので $\sqrt{9} = 3$ となります。)
    *   ウ. $|-2| = 2$  (解説：絶対値は原点からの距離なので、-2から原点までの距離は2です。)
    *   エ. $x^2 = 4$ のとき、$x = \pm \sqrt{4} = \pm 2$  (解説：$x$ は $\sqrt{4}$ の他に $-\sqrt{4}$ もありえます)

6.  $x^2 = (-\sqrt{11})^2 = 11$
    
    （解説：$(-\sqrt{11})^2$ は $(-\sqrt{11}) \times (-\sqrt{11}) = 11$ と計算できます。）

7.  $|x| = \sqrt{a}$

（解説：$x^2 = a$ のとき、xは$\pm \sqrt{a}$なので、xの絶対値は$\sqrt{a}$になります。）
",,,,,
数と式,循環小数を分数で表すことができる？また、逆はできる？,実数,,21,1,,循環小数は有理数集合の一部であるので必ず整数の分数で表すことができる。循環小数を分数で表す方法を知っている。,"\textbf{基本例題 21 分数 → 循環小数 の変換}

\begin{enumerate}
    \item 次の分数を小数に直し、循環小数の表し方で書け。
    \begin{enumerate}
        \item $\frac{7}{7}$
        \item $\frac{31}{27}$
    \end{enumerate}
    \item 次の循環小数を分数で表せ。
    \begin{enumerate}
        \item $0.\overline{6}$
        \item $1.\overline{18}$
        \item $0.0123\overline{3}$
    \end{enumerate}
\end{enumerate}
","循環小数を分数で表す方法は、循環する部分をうまく打ち消すように10の累乗を掛けて引き算をするというテクニックを使う。
例えば、$0.\overline{6}$ を分数で表す場合、$x = 0.\overline{6}$ とおくと、$10x = 6.\overline{6}$ となる。
この2つの式を引き算すると、$10x - x = 6.\overline{6} - 0.\overline{6}$ 、つまり $9x = 6$ となり、$x = \frac{6}{9} = \frac{2}{3}$ となる。
$1.\overline{18}$ の場合も同様に、$x = 1.\overline{18}$ とおくと、$100x = 118.\overline{18}$。
$100x - x = 118.\overline{18} - 1.\overline{18}$ より、$99x = 117$。したがって、$x = \frac{117}{99} = \frac{13}{11}$となる。
$0.012\overline{3}$ のように循環がすぐ始まらない場合は、少し工夫が必要。
$x = 0.012\overline{3}$ とおくと、$1000x = 12.\overline{3}$ 、$10000x = 123.\overline{3}$。
$10000x - 1000x = 123.\overline{3} - 12.\overline{3}$ より、$9000x = 111$。
よって、$x = \frac{111}{9000} = \frac{37}{3000}$ となる。
分数を小数で表すには、実際に割り算を実行すれば良い。
$\frac{7}{7} = 1$
$\frac{31}{27}$ の場合、実際に筆算すると $1.148148148...$ となり、$1.\overline{148}$ となる。
このように、循環小数を分数で表すことも、分数を小数で表すことも、どちらも可能である。
","- **循環小数を分数で表すときには、**循環する部分を消すために、**10の累乗を掛けて引き算をする**というテクニックを必ず使えるようにして欲しい。
- 循環がすぐ始まらない場合は、**ずらして引き算することで循環部分を消す**ということを理解してほしい。
- 分数を小数で表すには、**実際に割り算をすれば良い**ということを理解して欲しい。
- **どんな分数も必ず循環小数か有限小数で表せる**ことを覚えておこう。
- **循環小数と分数は、異なる見た目だが同じ数を表す**ということを理解しよう。
","\begin{enumerate}
    \item 次の分数を小数に直し、循環小数の表し方で書け。
    \begin{enumerate}
        \item $\frac{5}{9}$
        \item $\frac{23}{11}$
    \end{enumerate}
    \item 次の循環小数を分数で表せ。
    \begin{enumerate}
        \item $0.\overline{3}$
        \item $2.\overline{27}$
        \item $0.12\overline{5}$
    \end{enumerate}
\end{enumerate}
","練習問題の解答：

1.  分数を小数で表す

    (1) $\frac{5}{9}$
    
    実際に割り算をすると、$5 \div 9 = 0.555...$ となるので、$0.\overline{5}$ と表せる。
    
    (2) $\frac{23}{11}$
    
    実際に割り算をすると、$23 \div 11 = 2.090909...$ となるので、$2.\overline{09}$ と表せる。

2.  循環小数を分数で表す

    (1) $0.\overline{3}$
    
    $x = 0.\overline{3}$ とおくと、$10x = 3.\overline{3}$
    
    $10x - x = 3.\overline{3} - 0.\overline{3}$ より、$9x = 3$
    
    したがって、$x = \frac{3}{9} = \frac{1}{3}$
    
    (2) $2.\overline{27}$
    
     $x = 2.\overline{27}$ とおくと、$100x = 227.\overline{27}$
     
    $100x - x = 227.\overline{27} - 2.\overline{27}$ より、$99x = 225$
     
    したがって、$x = \frac{225}{99} = \frac{25}{11}$
    
    (3) $0.12\overline{5}$
    
    $x = 0.12\overline{5}$ とおくと、$100x = 12.\overline{5}$、$1000x = 125.\overline{5}$
    
    $1000x - 100x = 125.\overline{5} - 12.\overline{5}$ より、$900x = 113$
    
    したがって、$x = \frac{113}{900}$
","基本例題 $$21$$：分数 → 循環小数 の変換

(1) 次の分数を小数に直し、循環小数の表し方で書け。

    \begin{align*} &(ア) \enspace \frac{7}{7} \\ &(イ) \enspace \frac{31}{27} \end{align*} 

(2) 次の循環小数を分数で表せ。

    \begin{align*} &(ア) \enspace 0.\overline{6} \\ &(イ) \enspace 1.\overline{18} \\ &(ウ) \enspace 0.0123\overline{3} \end{align*} 
",,,,
数と式,根号を正しく外すためのルールを理解している？,実数,,"23,25",3(1+2),,,"\textbf{基本例題 23 根号を含む式の計算（基本）}

\begin{enumerate}
    \item $\sqrt{7}, \sqrt{-8}$ の値を求めよ。
    \item 次の式を計算せよ。
    \begin{enumerate}
        \item $\sqrt{12 + \sqrt{27} - \sqrt{48}}$
        \item $\left(\sqrt{2} - \sqrt{7}\right)^2$
    \end{enumerate}
    \item $\sqrt{a^2b^2}$ （$a > 0, b < 0$）の形にせよ。
    \item $\left(\sqrt{11 - \sqrt{3}} \times (\sqrt{11 + \sqrt{3}})\right)$ を計算せよ。
\end{enumerate}

\textbf{基本例題 25 $\sqrt{\text{文字式}^2}$ の簡約化}

次の (1)〜(3) の場合について，$\sqrt{(a-1)^2} + \sqrt{(a-3)^2}$ の根号を外し簡単にせよ。

\begin{enumerate}
    \item $a \geq 3$
    \item $1 \leq a < 3$
    \item $a < 1$
\end{enumerate}
","1.  $\sqrt{7}$ はそのまま。$\sqrt{-8}$ は虚数単位 $i$ を用いて $2\sqrt{2}i$ となる。

2.  
    (1) $\sqrt{12 + \sqrt{27} - \sqrt{48}} = \sqrt{2^2 \cdot 3 + \sqrt{3^2 \cdot 3} - \sqrt{4^2 \cdot 3}} = \sqrt{2^2 \cdot 3 + 3\sqrt{3} - 4\sqrt{3}} = \sqrt{4 \cdot 3 + 3\sqrt{3} - 4\sqrt{3}} = \sqrt{12 - \sqrt{3}}$
    
    (2) $\left(\sqrt{2} - \sqrt{7}\right)^2 = (\sqrt{2})^2 - 2\sqrt{2}\sqrt{7} + (\sqrt{7})^2 = 2 - 2\sqrt{14} + 7 = 9 - 2\sqrt{14}$

3.  $\sqrt{a^2b^2} = \sqrt{(ab)^2}$ と変形できる。$a > 0$ で $b < 0$ より $ab < 0$ なので、$\sqrt{(ab)^2} = |ab| = -ab$ となる。

4.  $\left(\sqrt{11 - \sqrt{3}} \times \sqrt{11 + \sqrt{3}}\right) = \sqrt{(11-\sqrt{3})(11+\sqrt{3})} = \sqrt{11^2 - (\sqrt{3})^2} = \sqrt{121 - 3} = \sqrt{118}$

基本例題25

    (1) $a \geq 3$ のとき、$a-1 > 0$ かつ $a-3 \geq 0$ なので、$\sqrt{(a-1)^2} + \sqrt{(a-3)^2} = (a-1) + (a-3) = 2a-4$

    (2) $1 \leq a < 3$ のとき、$a-1 \geq 0$ かつ $a-3 < 0$ なので、$\sqrt{(a-1)^2} + \sqrt{(a-3)^2} = (a-1) - (a-3) = a-1-a+3 = 2$

    (3) $a < 1$ のとき、$a-1 < 0$ かつ $a-3 < 0$ なので、$\sqrt{(a-1)^2} + \sqrt{(a-3)^2} = -(a-1) - (a-3) = -a+1-a+3 = -2a+4$
","- ** $$\sqrt{x^2} = |x| $$ というルールを絶対に忘れないで！**  $$x $$ が正の数か負の数かで場合分けが必要になることを理解しよう。
- **根号の中身が負の数になる場合は、虚数単位  $$i $$ を使う！** 例えば、 $$\sqrt{-1} = i $$ だよ。
- **根号の中を整理するときは、素因数分解をすると、外に出せる数が見つけやすくなる！** 例： $$\sqrt{12} = \sqrt{2^2 \cdot 3} = 2\sqrt{3} $$
- ** $$(a+b)^2 = a^2 + 2ab + b^2 $$ や  $$(a-b)^2 = a^2 - 2ab + b^2 $$ の展開公式は、根号を含む式の計算でも使える！** 特に、 $$(a+b)(a-b) = a^2 - b^2 $$ の形は、根号を外すのに便利だよ。
- **複数の根号が含まれる式でも、一つ一つ丁寧に計算していけば必ず解ける！** 焦らずに、計算ルールをしっかり守ろう。
- ** $$\sqrt{(\text{文字式})^2} $$ の形は、必ず絶対値記号を使って考える！** $$\sqrt{(a-1)^2} $$ は  $$a-1 $$ が正の数か負の数かで場合分けが必要になるよ。
- **文字式の場合、範囲によって絶対値の中身の符号が変わるから、注意して場合分けする！**場合分けをすることで、根号を外して式を簡単にすることができる。
","\begin{enumerate}
    \item 次の値を求めよ。
    \begin{enumerate}
        \item $\sqrt{16}$
        \item $\sqrt{-25}$
        \item $\sqrt{0.04}$
    \end{enumerate}
    \item 次の式を計算せよ。
    \begin{enumerate}
        \item $\sqrt{18} + \sqrt{32} - \sqrt{50}$
        \item $(\sqrt{3} + \sqrt{5})^2$
        \item $(\sqrt{6} - \sqrt{2})(\sqrt{6} + \sqrt{2})$
    \end{enumerate}
    \item  $\sqrt{4x^2y^2}$ を簡単にせよ。ただし、$x < 0, y > 0$ とする。
    \item  $\left(\sqrt{10 + 2\sqrt{21}} \times \sqrt{10 - 2\sqrt{21}}\right)$ を計算せよ。
    \item 次の各場合について、$\sqrt{(x+2)^2} + \sqrt{(x-3)^2}$ の根号を外し簡単にせよ。
    \begin{enumerate}
        \item $x \geq 3$
        \item $-2 \leq x < 3$
        \item $x < -2$
    \end{enumerate}
\end{enumerate}
","\begin{enumerate}
    \item 
    \begin{enumerate}
        \item $\sqrt{16} = 4$
        \item $\sqrt{-25} = \sqrt{25} \times \sqrt{-1} = 5i$
        \item $\sqrt{0.04} = \sqrt{\frac{4}{100}} = \frac{\sqrt{4}}{\sqrt{100}} = \frac{2}{10} = 0.2$
    \end{enumerate}
    \item 
    \begin{enumerate}
        \item $\sqrt{18} + \sqrt{32} - \sqrt{50} = \sqrt{3^2 \cdot 2} + \sqrt{4^2 \cdot 2} - \sqrt{5^2 \cdot 2} = 3\sqrt{2} + 4\sqrt{2} - 5\sqrt{2} = (3+4-5)\sqrt{2} = 2\sqrt{2}$
        \item $(\sqrt{3} + \sqrt{5})^2 = (\sqrt{3})^2 + 2\sqrt{3}\sqrt{5} + (\sqrt{5})^2 = 3 + 2\sqrt{15} + 5 = 8 + 2\sqrt{15}$
        \item $(\sqrt{6} - \sqrt{2})(\sqrt{6} + \sqrt{2}) = (\sqrt{6})^2 - (\sqrt{2})^2 = 6 - 2 = 4$
    \end{enumerate}
    \item $\sqrt{4x^2y^2} = \sqrt{(2xy)^2}$ と変形できる。ここで、$x < 0$ かつ $y > 0$ より、$2xy < 0$ となる。したがって、$\sqrt{(2xy)^2} = |2xy| = -2xy$
    \item $\left(\sqrt{10 + 2\sqrt{21}} \times \sqrt{10 - 2\sqrt{21}}\right) = \sqrt{(10 + 2\sqrt{21})(10 - 2\sqrt{21})} = \sqrt{10^2 - (2\sqrt{21})^2} = \sqrt{100 - 4 \cdot 21} = \sqrt{100 - 84} = \sqrt{16} = 4$
    \item 
    \begin{enumerate}
        \item $x \geq 3$ のとき、$x+2 > 0$ かつ $x-3 \geq 0$ なので、$\sqrt{(x+2)^2} + \sqrt{(x-3)^2} = (x+2) + (x-3) = 2x - 1$
        \item $-2 \leq x < 3$ のとき、$x+2 \geq 0$ かつ $x-3 < 0$ なので、$\sqrt{(x+2)^2} + \sqrt{(x-3)^2} = (x+2) - (x-3) = x+2 - x + 3 = 5$
        \item $x < -2$ のとき、$x+2 < 0$ かつ $x-3 < 0$ なので、$\sqrt{(x+2)^2} + \sqrt{(x-3)^2} = -(x+2) - (x-3) = -x - 2 - x + 3 = -2x + 1$
    \end{enumerate}
\end{enumerate}
","基本例題 $$23$$：根号を含む式の計算（基本）

(1) $$ \sqrt{7}, \sqrt{-8} $$ の値を求めよ。

(2) 次の式を計算せよ。
\begin{align*} &(ア)\enspace \sqrt{12 + \sqrt{27} - \sqrt{48}} \\ &(イ)\enspace \left(\sqrt{2} - \sqrt{7}\right)^2 \end{align*} 

(3) $$ \sqrt{a^2b^2} $$（$$a > 0, b < 0$$）の形にせよ。

(4) $$ \left(\sqrt{11 - \sqrt{3}} \times \sqrt{11 + \sqrt{3}}\right) $$ を計算せよ。


基本例題 $$25$$：$$ \sqrt{\mathrm{文字式}^2} $$ の簡約化

次の(1)～(3)の場合について，$$ \sqrt{(a-1)^2} + \sqrt{(a-3)^2} $$ の根号を外し簡単にせよ。

\begin{align*} &(1)\enspace a \geq 3 \\ &(2)\enspace 1 \leq a < 3 \\ &(3)\enspace a < 1 \end{align*} 
",,,,
